1.110112000	10.1.1.1	10.1.2.2	49153,8080	0	0	0
1.110112000	10.1.2.2	10.1.1.1	8080,49153	0	0	1
1.330330000	10.1.1.1	10.1.2.2	49153,8080	1	0	1
1.331414000	10.1.1.1	10.1.2.2	49153,8080	1	536	1
1.331414000	10.1.2.2	10.1.1.1	8080,49153	1	0	537
1.332089000	10.1.1.1	10.1.2.2	49153,8080	537	536	1
1.332763000	10.1.1.1	10.1.2.2	49153,8080	1073	536	1
1.332763000	10.1.2.2	10.1.1.1	8080,49153	1	0	1609
1.333437000	10.1.1.1	10.1.2.2	49153,8080	1609	536	1
1.334112000	10.1.1.1	10.1.2.2	49153,8080	2145	536	1
1.334112000	10.1.2.2	10.1.1.1	8080,49153	1	0	2681
1.334786000	10.1.1.1	10.1.2.2	49153,8080	2681	536	1
1.335460000	10.1.1.1	10.1.2.2	49153,8080	3217	536	1
1.335460000	10.1.2.2	10.1.1.1	8080,49153	1	0	3753
1.336134000	10.1.1.1	10.1.2.2	49153,8080	3753	536	1
1.336809000	10.1.1.1	10.1.2.2	49153,8080	4289	536	1
1.336809000	10.1.2.2	10.1.1.1	8080,49153	1	0	4825
1.337483000	10.1.1.1	10.1.2.2	49153,8080	4825	536	1
1.537483000	10.1.2.2	10.1.1.1	8080,49153	1	0	5361
1.552666000	10.1.1.1	10.1.2.2	49153,8080	5361	536	1
1.553340000	10.1.1.1	10.1.2.2	49153,8080	5897	536	1
1.553340000	10.1.2.2	10.1.1.1	8080,49153	1	0	6433
1.554014000	10.1.1.1	10.1.2.2	49153,8080	6433	536	1
1.554688000	10.1.1.1	10.1.2.2	49153,8080	6969	536	1
1.554688000	10.1.2.2	10.1.1.1	8080,49153	1	0	7505
1.555363000	10.1.1.1	10.1.2.2	49153,8080	7505	536	1
1.556037000	10.1.1.1	10.1.2.2	49153,8080	8041	536	1
1.556037000	10.1.2.2	10.1.1.1	8080,49153	1	0	8577
1.556711000	10.1.1.1	10.1.2.2	49153,8080	8577	536	1
1.557386000	10.1.1.1	10.1.2.2	49153,8080	9113	536	1
1.557386000	10.1.2.2	10.1.1.1	8080,49153	1	0	9649
1.558060000	10.1.1.1	10.1.2.2	49153,8080	9649	536	1
1.558734000	10.1.1.1	10.1.2.2	49153,8080	10185	536	1
1.558734000	10.1.2.2	10.1.1.1	8080,49153	1	0	10721
1.559408000	10.1.1.1	10.1.2.2	49153,8080	10721	536	1
1.560083000	10.1.1.1	10.1.2.2	49153,8080	11257	536	1
1.560083000	10.1.2.2	10.1.1.1	8080,49153	1	0	11793
1.560757000	10.1.1.1	10.1.2.2	49153,8080	11793	536	1
1.561431000	10.1.1.1	10.1.2.2	49153,8080	12329	536	1
1.561431000	10.1.2.2	10.1.1.1	8080,49153	1	0	12865
1.758734000	10.1.1.1	10.1.2.2	49153,8080	12865	536	1
1.759408000	10.1.1.1	10.1.2.2	49153,8080	13401	536	1
1.759408000	10.1.2.2	10.1.1.1	8080,49153	1	0	13937
1.774591000	10.1.1.1	10.1.2.2	49153,8080	13937	536	1
1.775265000	10.1.1.1	10.1.2.2	49153,8080	14473	536	1
1.775265000	10.1.2.2	10.1.1.1	8080,49153	1	0	15009
1.775940000	10.1.1.1	10.1.2.2	49153,8080	15009	536	1
1.776614000	10.1.1.1	10.1.2.2	49153,8080	15545	536	1
1.776614000	10.1.2.2	10.1.1.1	8080,49153	1	0	16081
1.777288000	10.1.1.1	10.1.2.2	49153,8080	16081	536	1
1.777962000	10.1.1.1	10.1.2.2	49153,8080	16617	536	1
1.777962000	10.1.2.2	10.1.1.1	8080,49153	1	0	17153
1.778637000	10.1.1.1	10.1.2.2	49153,8080	17153	536	1
1.779311000	10.1.1.1	10.1.2.2	49153,8080	17689	536	1
1.779311000	10.1.2.2	10.1.1.1	8080,49153	1	0	18225
1.779985000	10.1.1.1	10.1.2.2	49153,8080	18225	536	1
1.780660000	10.1.1.1	10.1.2.2	49153,8080	18761	536	1
1.780660000	10.1.2.2	10.1.1.1	8080,49153	1	0	19297
1.781334000	10.1.1.1	10.1.2.2	49153,8080	19297	536	1
1.782008000	10.1.1.1	10.1.2.2	49153,8080	19833	536	1
1.782008000	10.1.2.2	10.1.1.1	8080,49153	1	0	20369
1.782682000	10.1.1.1	10.1.2.2	49153,8080	20369	536	1
1.783357000	10.1.1.1	10.1.2.2	49153,8080	20905	536	1
1.783357000	10.1.2.2	10.1.1.1	8080,49153	1	0	21441
1.784031000	10.1.1.1	10.1.2.2	49153,8080	21441	536	1
1.784705000	10.1.1.1	10.1.2.2	49153,8080	21977	536	1
1.784705000	10.1.2.2	10.1.1.1	8080,49153	1	0	22513
1.785380000	10.1.1.1	10.1.2.2	49153,8080	22513	536	1
1.786054000	10.1.1.1	10.1.2.2	49153,8080	23049	536	1
1.786054000	10.1.2.2	10.1.1.1	8080,49153	1	0	23585
1.786728000	10.1.1.1	10.1.2.2	49153,8080	23585	536	1
1.787402000	10.1.1.1	10.1.2.2	49153,8080	24121	536	1
1.787402000	10.1.2.2	10.1.1.1	8080,49153	1	0	24657
1.788077000	10.1.1.1	10.1.2.2	49153,8080	24657	536	1
1.980660000	10.1.1.1	10.1.2.2	49153,8080	25193	536	1
1.980660000	10.1.2.2	10.1.1.1	8080,49153	1	0	25729
1.981334000	10.1.1.1	10.1.2.2	49153,8080	25729	536	1
1.982008000	10.1.1.1	10.1.2.2	49153,8080	26265	536	1
1.982008000	10.1.2.2	10.1.1.1	8080,49153	1	0	26801
1.996517000	10.1.1.1	10.1.2.2	49153,8080	26801	536	1
