# Time	QueueLength	QueueDelay
1.10005	1	0.0
1.10005	0	0.0
1.11011	1	0.0
1.11011	0	0.0
1.12018	1	4.0000000000040004e-05
1.12018	0	0.0005100000000000104
1.22023	1	0.0009799999999999809
1.22023	0	0.0014500000000001734
1.22023	1	0.0019299999999999873
1.22023	2	0.0024000000000001798
1.22023	3	0.00287000000000015
1.22023	4	0.0033400000000001207
1.22023	5	0.003810000000000091
1.22023	6	0.004290000000000127
1.22023	7	0.0
1.22023	8	0.0
1.22023	9	0.00019999999999997797
1.22023	10	0.00041000000000002146
1.22027	9	0.0005999999999999339
1.22074	8	0.0008099999999999774
1.22121	7	0.0010099999999999554
1.22168	6	0.0012199999999999989
1.22216	5	0.0014199999999999768
1.22263	4	0.0016100000000001113
1.2231	3	0.0018200000000001548
1.22357	2	0.0
1.22404	1	0.0
1.22452	0	0.0
1.32027	1	0.0
1.32027	0	0.0
1.32074	1	0.0
1.32074	0	0.0
1.32121	1	0.0
1.32141	0	0.0
1.32168	1	0.0
1.32209	0	0.0
1.32216	1	0.0004700000000001925
1.32263	2	0.0
1.32276	1	0.00046999999999997044
1.3231	2	0.0009399999999999409
1.32344	1	5.999999999994898e-05
1.32357	2	0.0005399999999999849
1.32404	3	0.0010099999999999554
1.32411	2	0.00012999999999996348
1.32452	3	0.0005999999999999339
1.32479	2	0.0010699999999999044
1.32499	3	0.00021000000000004349
1.32546	2	0.0006800000000000139
1.32613	1	0.0011499999999999844
1.32681	0	0.0
1.33141	1	0.0
1.33141	0	0.00021000000000004349
1.33276	1	0.0
1.33276	0	0.00020000000000020002
1.33411	1	0.0004099999999997994
1.33411	0	0.000600000000000156
1.33546	1	0.0008099999999999774
1.33546	0	0.0010099999999999554
1.33681	1	0.0012199999999999989
1.33681	0	0.0009099999999999664
1.34148	1	0.0009399999999999409
1.34148	0	0.0011799999999999589
1.34283	1	0.0018199999999999328
1.34283	0	0.0020199999999999108
1.34417	1	0.0022299999999999542
1.34417	0	0.0
1.34552	1	0.0
1.34552	0	0.0
1.34687	1	0.0
1.34687	0	0.0
1.44152	1	0.0
1.44152	0	0.0
1.44152	1	0.0
1.44199	0	0.0
1.44287	1	0.0
1.44287	0	0.0
1.44287	1	0.0
1.44287	2	0.0
1.44334	1	0.0
1.44381	0	0.0
1.44422	1	0.00046999999999997044
1.44422	2	0.0
1.44422	3	0.00046999999999997044
1.44428	2	0.0009399999999999409
1.44476	1	7.00000000000145e-05
1.44523	0	0.0005399999999999849
1.44557	1	0.0010200000000000209
1.44557	2	0.000140000000000029
1.44557	3	0.0006099999999999994
1.4457	2	0.0010799999999999699
1.44617	1	0.00019999999999997797
1.44664	0	0.0006800000000000139
1.44691	1	0.0011499999999999844
1.44691	2	0.00026999999999999247
1.44691	3	0.0007399999999999629
1.44712	2	0.0012099999999999334
1.44759	1	0.00034000000000000696
1.44806	0	0.0008099999999999774
1.53748	1	0.0012799999999999478
1.53748	0	0.00039999999999995595
1.54199	1	0.0008699999999999264
1.54199	0	0.0013499999999999623
1.54246	1	0.0
1.54267	0	0.00019999999999997797
1.54334	1	0.0
1.54334	0	0.0
1.54381	1	0.00020000000000020002
1.54401	0	0.0004099999999997994
1.54428	1	0.0006099999999999994
1.54469	0	0.0007999999999999119
1.54476	1	0.0010099999999999554
1.54523	2	0.0012099999999999334
1.54536	1	0.0014199999999999768
1.5457	2	0.0016199999999999548
1.54604	1	0.0013000000000000789
1.54617	2	0.0013499999999999623
1.54664	3	0.0015499999999999403
1.54671	2	0.0018599999999999728
1.54712	3	0.0024300000000001543
1.54739	2	0.0026300000000001322
1.54755	3	0.00283000000000011
1.54755	2	0.003030000000000088
1.54759	3	0.0032399999999999096
1.54806	4	0.003329999999999833
1.54806	3	0.002969999999999917
1.54853	4	0.0031599999999998296
1.54873	3	0.003249999999999975
1.54941	2	0.0014600000000000168
1.55008	1	0.0007900000000000684
1.55076	0	0.0
1.55334	1	0.0
1.55334	0	0.0
1.55469	1	0.0
1.55469	0	0.0
1.55604	1	0.0
1.55604	0	0.0
1.55739	1	0.0
1.55739	0	0.0
1.55873	1	0.0
1.55873	0	0.0
1.56008	1	0.0
1.56008	0	0.0
1.56143	1	0.0
1.56143	0	0.0
1.5634	1	0.0
1.5634	0	0.0
1.56475	1	0.0
1.56475	0	0.0
1.5661	1	0.00048000000000003595
1.5661	0	0.0009500000000000064
1.56745	1	0.0
1.56745	0	0.00046999999999997044
1.5688	1	0.0009399999999999409
1.5688	0	7.00000000000145e-05
1.57014	1	0.0005399999999999849
1.57014	0	0.0010099999999999554
1.57149	1	0.00013000000000018552
1.57149	0	0.000600000000000156
1.64759	1	0.001080000000000192
1.64759	0	0.00019999999999997797
1.64759	1	0.0006699999999999484
1.64806	0	0.0011399999999999189
1.66345	1	0.00025999999999992696
1.66345	0	0.0007399999999999629
1.66345	1	0.0012099999999999334
1.66345	2	0.00034000000000000696
1.66392	1	0.0008099999999999774
1.66439	0	0.0012799999999999478
1.66479	1	0.00041000000000002146
1.66479	2	0.0008799999999999919
1.66479	3	0.0013500000000001844
1.66486	2	0.00046999999999997044
1.66533	1	0.0009399999999999409
1.66581	0	0.0014199999999999768
1.66614	1	0.0005399999999999849
1.66614	2	0.0010099999999999554
1.66614	3	0.0014799999999999258
1.66628	2	0.0005999999999999339
1.66675	1	0.0010799999999999699
1.66722	0	0.0015499999999999403
1.66749	1	0.0
1.66749	2	0.00019999999999997797
1.66749	3	0.00039999999999995595
1.66769	2	0.0
1.66817	1	0.0
1.66864	0	0.0
1.66884	1	0.00021000000000004349
1.66884	2	0.00039999999999995595
1.66884	3	0.0006099999999999994
1.66911	2	0.0008099999999999774
1.66958	1	0.0010099999999999554
1.67005	0	0.0012199999999999989
1.67019	1	0.0014100000000001334
1.67019	2	0.001100000000000101
1.67019	3	0.0011499999999999844
1.67053	2	0.0013499999999999623
1.671	1	0.0013499999999999623
1.67147	0	0.0015600000000000058
1.67154	1	0.0017500000000001403
1.67154	2	0.0019499999999998963
1.67154	3	0.0025399999999999867
1.67194	2	0.002829999999999888
1.67241	1	0.0030399999999999316
1.67289	0	0.0032399999999999096
1.74806	1	0.0033199999999999896
1.74806	0	0.002969999999999917
1.74853	1	0.003170000000000117
1.74873	0	0.0032600000000000406
1.75941	1	0.0029000000000001247
1.75941	0	0.0031000000000001027
1.76392	1	0.003190000000000026
1.76392	0	0.003510000000000124
1.76439	1	0.004050000000000109
1.76459	0	0.00370999999999988
1.76486	1	0.0039199999999999235
1.76527	0	0.004050000000000109
1.76533	1	0.004109999999999836
1.76581	2	0.004309999999999814
1.76594	1	0.0043999999999999595
1.76628	2	0.0041599999999999415
1.76661	1	0.0034799999999997056
1.76675	2	0.002689999999999859
1.76722	3	0.0014699999999998603
1.76729	2	0.0013499999999999623
1.76769	3	0.0006200000000000649
1.76796	2	0.0007299999999998974
1.76817	3	0.0006200000000000649
1.76864	4	0.0007299999999998974
1.76864	3	0.0006200000000000649
1.76911	4	0.0007299999999998974
1.76931	3	0.0006200000000000649
1.76947	4	0.0007300000000003415
1.76947	3	0.0006199999999996209
1.76958	4	0.000720000000000276
1.76999	3	0.0006299999999996864
1.77005	4	0.000720000000000276
1.77053	5	0.0006200000000000649
1.77066	4	0.0007299999999998974
1.771	5	0.0006200000000000649
